Name,Rating,Category1,Category2,Place,City
takeyra,3.1,History,Hated,Pantai Marina,Semarang
anjelita,4.8,History,Isolated,Kampoeng Kopi Banaran,Semarang
unda,3.4,Culinary,Hated,Taman Pelangi Jogja,Jogja
tonie,3.5,Tourist Attraction,Boring,Alun-alun Utara Keraton Yogyakarta,Jogja
elrico,3.1,Culture,Boring,Pantai Sundak,Jogja
elleass,4.6,Culture,Kind,Benteng Pendem,Semarang
tishena,4.6,Culture,Mindful,Hutan Wisata Tinjomoyo Semarang,Semarang
vann,3.3,History,Kind,Galaxy Waterpark Jogja,Jogja
beti,3.4,Culinary,Noisy,Tebing Breksi,Jogja
fernanda,4.8,History,Respectable,Candi Gedong Songo,Semarang
isacc,4.5,Culture,Beautiful,Tebing Breksi,Jogja
weslyn,4.9,Culinary,Isolated,Candi Ijo,Jogja
dionigia,4.8,Tourist Attraction,Kind,Bentara Budaya Yogyakarta (BBY),Jogja
rafi,4.3,Culture,Bad Food,Wisata Eling Bening,Semarang
zaydon,3.7,Culinary,Tasty Food,Sindu Kusuma Edupark (SKE),Jogja
tylan,4.9,Culture,Beautiful,Pantai Kukup,Jogja
coleston,3.8,Culinary,Kind Person,Kauman Pakualaman Yogyakarta,Jogja
konsta,3.2,Tourist Attraction,Expensive,Pantai Krakal,Jogja
girhiny,3.2,Tourist Attraction,Tasty Food,Masjid Kapal Semarang,Semarang
tradarrius,3.9,Nature,Tasty Food,Durian Gardens and Tourism Education Watu Simbar,Semarang
eija,4.2,Culinary,Great View,Candi Prambanan,Jogja
blinnie,4.5,Tourist Attraction,Kind Person,Semarang Contemporary Art Gallery,Semarang
liria,3.9,Nature,Boring,De Mata Museum Jogja,Jogja
taquoya,3.9,History,Fun,Kampung Wisata Kadipaten,Jogja
eldina,3.2,Culture,Respectable,Waduk Jatibarang,Semarang
yarelin,3.5,History,Respectable,Monumen Sanapati,Jogja
kiasia,4.8,Culture,Peaceful,Alun Alun Selatan Yogyakarta,Jogja
masuda,3.1,Nature,Great View,Candi Ijo,Jogja
stevii,3.6,Tourist Attraction,Mindful,Umbul Sidomukti,Semarang
keyontai,3.1,Nature,Isolated,Masjid Agung Ungaran,Semarang
tyka,4.1,Tourist Attraction,Expensive,Nol Kilometer Jl.Malioboro,Jogja
peacock,5.0,Culinary,Respectable,Gembira Loka Zoo,Jogja
xyleena,3.5,Culinary,Fun,Semarang Gallery,Semarang
miakota,3.7,History,Recommended,Bukit Lintang Sewu,Jogja
nathern,4.2,Culinary,Fun,Air Terjun Kedung Pedut,Jogja
hinal,3.6,Culture,Hated,Pantai Marina,Semarang
coletta,4.1,History,Isolated,Benteng Pendem,Semarang
debanhy,4.7,History,Bad Food,Wisata Kalibiru,Jogja
devontee,4.7,History,Mindful,Monumen Serangan Umum 1 Maret,Jogja
tiquana,4.2,Tourist Attraction,Expensive,Gua Maria Kerep Ambarawa,Semarang
marcetta,4.8,Tourist Attraction,Bad Food,Pantai Kukup,Jogja
tiasia,4.9,Nature,Expensive,Lawang Sewu,Semarang
muneef,4.5,Nature,Mindful,Tugu Pal Putih Jogja,Jogja
montine,3.6,Tourist Attraction,Boring,Bukit Lintang Sewu,Jogja
afaq,5.0,Tourist Attraction,Peaceful,Benteng Pendem,Semarang
pautauros,3.2,Culture,Expensive,GPIB Immanuel Semarang (Gereja Blenduk),Semarang
srboslav,4.3,Nature,Tasty Food,Benteng Pendem,Semarang
beza,3.4,Culture,Boring,Brown Canyon,Semarang
natausha,4.4,Tourist Attraction,Expensive,Nol Kilometer Jl.Malioboro,Jogja
bedar,4.6,Tourist Attraction,Isolated,Seribu Batu Songgo Langit,Jogja
sueko,4.5,Nature,Respectable,Alun-alun Utara Keraton Yogyakarta,Jogja
sumbul,4.0,Nature,Recommended,Wisata Mangrove Tapak,Semarang
priscylla,3.6,Nature,Kind Person,Kawasan Malioboro,Jogja
zaidin,3.8,Culinary,Isolated,Selected Places,Semarang
tajinder,3.2,History,Noisy,Kampung Batik Gedong Semarang,Semarang
gillian,3.4,Culture,Not Recommended,Tugu Pal Putih Jogja,Jogja
mhora,4.1,History,Boring,Masjid Kapal Semarang,Semarang
risquermi,3.6,Culinary,Beautiful,Pantai Parangtritis,Jogja
gjin,3.2,History,Hated,Waduk Jatibarang,Semarang
halina,4.2,Tourist Attraction,Kind Person,Semarang Contemporary Art Gallery,Semarang
shalayne,3.7,History,Not Recommended,Water Blaster Bukit Candi Golf,Semarang
pestonit,4.6,Culinary,Recommended,Monumen Palagan Ambarawa,Semarang
tajanique,4.4,History,Boring,Candi Ijo,Jogja
allie,4.5,Culinary,Noisy,Pantai Patihan,Jogja
tymera,4.0,History,Isolated,Jurang Tembelan Kanigoro,Jogja
dursine,4.7,Tourist Attraction,Kind,Museum Kereta Ambarawa,Semarang
tabor,3.3,Tourist Attraction,Hated,Desa Wisata Pulesari,Jogja
aliehs,3.1,Nature,Recommended,Puncak Segoro,Jogja
